
Admin State,Description,Encapsulation,Ethernet Admin FEC State,Ethernet Auto Negotiate,Ethernet Babbles,Ethernet Bad Ethernet,Ethernet Bad Protocol,Ethernet Beacon,Ethernet BIA Address,Ethernet Bandwidth,Ethernet Clear Counters,Ethernet Collisions,Ethernet CRC,Ethernet Deferred,Ethernet Delay,Ethernet Dribble,Ethernet Duplex,Ethernet EEE State,Ethernet Ethertype,Ethernet Frame,Ethernet Giants,Ethernet MAC Address,Ethernet Hardware Description,Ethernet Ignored,Ethernet Input Flow Control,Ethernet Input Interface Down Drops,Ethernet Input Broadcast,Ethernet Input Bytes,Ethernet Input Discard,Ethernet Input Error,Ethernet Input Multicast,Ethernet Input Pause,Ethernet Input Packets,Ethernet Input Rate 1 Bits,Ethernet Input Rate 1 Packets,Ethernet Input Rate 1 Summary Bits,Ethernet Input Rate 1 Summary Packets,Ethernet Input Rate 2 Bits,Ethernet Input Rate 2 Packets,Ethernet Input Rate 2 Summary Bits,Ethernet Input Rate 2 Summary Packets,Ethernet Input Unicast,Ethernet IP Address,Ethernet IP Mask,Ethernet IP Prefix,Ethernet Jumbo Input Packets,Ethernet Jumbo Outpkts,Ethernet Late Collision,Ethernet Link Flapped,Ethernet Load Interval 1 RX,Ethernet Load Interval 1 TX,Ethernet Load Interval 2_RX,Ethernet Load Interval 2 TX,Ethernet Lost Carrier,Ethernet MDIX,Ethernet MTU,Ethernet No Buffer,Ethernet No Carrier,Ethernet Opereration FEC State,Ethernet Output Flow Control,Ethernet Output Broadcast,Ethernet Output Bytes,Ethernet Output Discard,Ethernet Output Error,Ethernet Output Multicast,Ethernet Output Pause,Ethernet Output Packets,Ethernet Output Rate 1 Bits,Ethernet Output Rate 1 Packets,Ethernet Output Rate 1 Summary Bits,Ethernet Output Rate 1 Summary Packets,Ethernet Output Rate 2 Bits,Ethernet Output Rate 2 Packets,Ethernet Output Rate 2 Summary Bits,Ethernet Output Rate 2 Summary Packets,Ethernet Output Unicast,Ethernet Overrun,Ethernet Reliability,Ethernet Reset Control,Ethernet Runts,Ethernet RX Load,Ethernet TX Load,Ethernet Speed,Ethernet Storm Support,Ethernet SWT Monitor,Ethernet Underrun,Ethernet Watchdog,Interface,Medium,Share State,State,Loopback Input Bytes,Loopback Input Compressed,Loopback Input Errors,Loopback Input FIFO,Loopback Input Frame,Loopback Input Multicast,Loopback Input Overrun,Loopback Input Packets,Loopback Output Bytes,Loopback Output Carriers,Loopback Output Collisions,Loopback Output Errors,Loopback Output FIFO,Loopback Output Packets,Loopback Output Underruns,VDC Level Input Average Bits,VDC Level Input Average Packets,VDC Level Input Broadcast,VDC Level Input Bytes,VDC Level Input Multicast,VDC Level Input Packets,VDC Level Input Unicast,VDC Level Output Average Bits,VDC Level Output Average Packets,VDC Level Output Broadcast,VDC Level Output Bytes,VDC Level Output Multicast,VDC Level Output Packets,VDC Level Output Unicast
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0114,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0114,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/20,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0115,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0115,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/21,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0116,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0116,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/22,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0117,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0117,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/23,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0118,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0118,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/24,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0119,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0119,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/25,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.011a,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.011a,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/26,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.011b,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.011b,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/27,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.011c,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.011c,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/28,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.011d,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.011d,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/29,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.011e,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.011e,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/30,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.011f,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.011f,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/31,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0120,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0120,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/32,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0121,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0121,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/33,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0122,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0122,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/34,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0123,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0123,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/35,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0124,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0124,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/36,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0125,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0125,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/37,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0126,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0126,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/38,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0127,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0127,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/39,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0128,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0128,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/40,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0129,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0129,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/41,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.012a,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.012a,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/42,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.012b,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.012b,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/43,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.012c,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.012c,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/44,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.012d,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.012d,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/45,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.012e,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.012e,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/46,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.012f,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.012f,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/47,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0130,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0130,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/48,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0131,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0131,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/49,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
down,N/A,ARPA,auto,on,0,0,0,off,5206.8d3e.0132,10000000,00:05:05,0,0,0,10,0,auto,n/a,0x8100,0,0,5206.8d3e.0132,100/1000/10000 Ethernet,0,off,0,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,N/A,N/A,N/A,0,0,0,never,0,0,0,0,0,off,1500,0,0,off,off,0,0,0,0,0,0,0,0,0,0 bps,0 pps,0,0,0 bps,0 pps,0,0,255,0,0,1,1,auto-speed,0,off,0,0,Ethernet1/50,broadcast,Dedicated,down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
